	mRNA	lncRNA	srpRNA	pseudogene	circRNA
T1-x43e2d13d666a9dc0	85.70330545028668	5.839481195553476	0.08839112519231747	1.8329596631627216	2.246645761981004
T1-7bb7514f4937f8e0	83.7714306432885	7.333199799433851	0.04492398737529834	1.548484743973067	3.4973501037761796
T1-7af2782c52f34d0e	86.64718010404795	6.066421251430484	0.06061272680042032	1.42562771616394	2.3177932286925205
T1-7c554febd3d70453	86.21993135720685	6.358789804581516	0.029734677107898153	1.239103274366487	3.352712549780043
T1-73a5dd20dd6f5a2a	83.35229296131781	6.456960126490623	0.05455636747493276	1.8830599291222618	3.2267495607711485
T1-5314116edad1ae3e	84.79438406834396	8.08034538437754	0.12568280979810587	1.5879980073978217	2.1472721963285735
T1-7063be29d010e3a7	78.99070062200283	7.583678800796627	0.12739168747720345	2.2649682542927447	4.283868274412885
T1-x6dd9133abb3bf553	81.10059135698648	7.227228374349701	0.1604365491985756	2.1328623599340055	4.1433749985254
T1-x13e82319506cc836	85.26681250157695	6.092279151133386	0.04477871501230499	1.3171399247348614	3.186559711419427
T1-338bd4e25c3b3da2	82.46171126004666	7.469726444830195	0.09486231977543008	2.2169596626511967	2.341030039592671
T1-747e9908ae0fcde4	79.41477806078096	12.947652750580174	0.028305571215219434	1.4045859752417957	2.9666394168031287
T1-52ad17fc98360993	85.792721087397	6.428429689319885	0.03771259584109541	1.297691584300676	3.092930605505342
T1-x6d92bf43aa5c0aed	81.0453833920414	6.720734274847404	0.10807799095110193	2.001276646882281	3.9657989733761383
T1-246a7ed4c9824e5e	83.59934687600008	6.537293386229727	0.04078378380743753	1.3325765870157622	3.693193338181878
T1-x43dc94006c4e406f	82.40372077327821	8.23627008128799	0.044198854497737784	1.859958711056255	3.839309348577353
T1-15b8155affe0ebb0	85.76857937892633	6.322318719157928	0.07723113775213482	1.376232963084524	2.233081126523749
T1-48924d20fc57cd2b	81.68196919409627	7.298983297039658	0.06573235739041598	1.6583017677140317	3.2813290591560524
T1-57a48c9567217565	57.7443440060454	15.015014353413425	0.5939647366484615	3.169207246546038	7.762740169068449
T1-79c5e6a3270fea57	79.03790536367794	10.384738322429893	0.17251117147610445	1.7162273059299418	3.493109072150417
T1-x369641a5ceb48163	83.60941888128902	6.96099478147484	0.06343112778984057	1.6614941087852206	3.0840389031860345
T1-x44465b6cd70f7e4a	78.36914583665778	8.095302508478015	0.1701415345075565	2.2034913888304724	4.4020687519748565
T1-34f7a9d2190877c3	83.05581616575331	6.270673674558952	0.051673677921664496	1.3190051901595083	3.92742370286178
T1-7b5655a39d239d95	83.1609681671742	5.807313312485012	0.04030509615946108	1.3577002737118584	3.1548056123976687
T1-x446996281d8e2aa5	81.90281435446491	10.66562658148283	0.03366523654953889	1.3205256728051031	2.8968736199799503
T1-10ae1c7ca9074153	85.17084685933426	5.7671328945055045	0.043659358556965906	1.4421072323592956	4.092760492875538
T1-x6a1f38bd6fdf3695	68.24744761232466	7.652260872975411	0.1359530439102187	2.236852425585317	5.385178503732173
T1-x2dfffb39e031d930	84.47841177386483	6.541507622823323	0.048374943677983485	1.5163104315411335	3.9158014614571997
T1-778da4d0b7f56305	87.09122140865315	6.035340654156999	0.07064570732762865	1.4936282578379187	1.7074288689511004
T1-46bbd5082f3263ee	82.2995816180611	7.143342478848555	0.041666373791499435	1.6034720155825208	4.578810364500718
T1-2caf1227f1d1a686	78.67548315093995	6.127602303456189	0.07101555193322412	1.616755889062128	2.971191436540633
T1-5dad438fde35640d	81.69639810426541	5.962748815165877	0.061990521327014214	1.5618957345971562	3.639905213270142
T1-79be2fee090d4c0a	83.06268832124829	6.595119894867442	0.03722114084153949	1.560892732536323	4.7332963942918
T1-x5bdaf2058401bf81	82.51180799797966	6.536770524798699	0.1297546309449555	1.6537184172112116	2.922527123834032
T1-27bdb54bffcadf4e	83.66278853019871	9.956066267668843	0.2082933045030164	1.2976988321618628	1.685512478957979
T1-72f02f385dfe39f9	79.24352797436548	8.026291523548261	0.24124576407939324	2.153864773277392	3.5164480509002045
T1-x2284b6509e6758ab	81.99836574471513	6.588807755276001	0.0384411711908248	1.5309741253397862	5.845417064240342
T1-5aab7a217e2fa1e5	82.14537021266347	6.6924216383052295	0.03946256926917472	1.6741161674812945	5.3579846433616005
T1-x179c86fabb1187f	79.58134957039749	7.215931768012758	0.04156680859595927	1.6063356832687998	5.654851415604404
T1-4a962b1ad9bb41ca	83.90831977781907	6.7764269240728865	0.05891001183649982	1.429363274362964	4.195250738484728
T1-3ea907b956efc41c	83.54681366549386	6.23385303459727	0.055371557157308314	1.4561945362797981	5.02083990763051
T1-x6223e9676843356a	85.80771953681162	6.504816643274243	0.042506817194601504	1.434540787379088	3.799933110851191
T1-62d7bd728afde8c3	84.79136174204397	6.665697571019083	0.03721562456548701	1.4513064712562214	4.338692167698426
T1-x1a6fe0a454b5f4d4	80.53661797035925	7.018762856103805	0.032062113691719296	1.6512256479762109	5.343870188271588
T1-7e36ee352f324f22	84.39563025794719	6.189607323269384	0.03872631987451042	1.5439164620286396	4.2948711677249145
T1-1eb8b5b196f27e18	84.70012076488473	7.015529514573712	0.0390412441412848	1.6082969723818599	3.4444896217045042
