	mRNA	lncRNA	srpRNA	pseudogene	circRNA
T1-x43e2d13d666a9dc0	8996	968	35	992	4548
T1-7bb7514f4937f8e0	6470	918	21	623	2459
T1-7af2782c52f34d0e	7362	790	23	618	1433
T1-7c554febd3d70453	6707	869	29	611	1425
T1-73a5dd20dd6f5a2a	5765	627	16	517	1049
T1-5314116edad1ae3e	7919	1038	173	1097	5960
T1-7063be29d010e3a7	6426	652	47	809	1515
T1-x6dd9133abb3bf553	6852	709	67	873	1767
T1-x13e82319506cc836	6778	792	27	601	3323
T1-338bd4e25c3b3da2	6073	796	50	673	3696
T1-747e9908ae0fcde4	6985	936	24	702	2456
T1-52ad17fc98360993	6484	861	26	588	1710
T1-x6d92bf43aa5c0aed	5414	648	64	685	1702
T1-246a7ed4c9824e5e	6248	702	18	523	2596
T1-x43dc94006c4e406f	5930	746	28	608	1197
T1-15b8155affe0ebb0	7672	828	47	736	3696
T1-48924d20fc57cd2b	6744	777	31	612	1494
T1-57a48c9567217565	5027	500	226	1218	3920
T1-79c5e6a3270fea57	8609	1000	80	966	2154
T1-x369641a5ceb48163	7459	847	37	713	2370
T1-x44465b6cd70f7e4a	5446	704	112	783	2248
T1-34f7a9d2190877c3	7719	872	29	729	3148
T1-7b5655a39d239d95	6485	654	16	518	2207
T1-x446996281d8e2aa5	7626	890	23	675	1970
T1-10ae1c7ca9074153	7431	834	24	660	3170
T1-x6a1f38bd6fdf3695	3031	315	61	525	2283
T1-x2dfffb39e031d930	7962	924	31	750	3131
T1-778da4d0b7f56305	7548	915	62	871	2036
T1-46bbd5082f3263ee	6468	837	14	629	2763
T1-2caf1227f1d1a686	7102	682	30	698	2092
T1-5dad438fde35640d	5782	622	17	511	2036
T1-79be2fee090d4c0a	6910	771	14	630	2544
T1-x5bdaf2058401bf81	5672	664	63	618	2824
T1-27bdb54bffcadf4e	9707	1211	122	1219	1707
T1-72f02f385dfe39f9	6768	872	181	995	6726
T1-x2284b6509e6758ab	7345	793	20	671	2885
T1-5aab7a217e2fa1e5	6530	778	13	586	2632
T1-x179c86fabb1187f	6143	851	17	621	3080
T1-4a962b1ad9bb41ca	6625	836	32	629	3021
T1-3ea907b956efc41c	7218	770	23	645	3216
T1-x6223e9676843356a	7002	977	21	685	2653
T1-62d7bd728afde8c3	8230	990	17	792	2955
T1-x1a6fe0a454b5f4d4	6205	848	14	596	2984
T1-7e36ee352f324f22	8282	892	19	688	2219
T1-1eb8b5b196f27e18	8046	1061	24	779	1479
T1-xca8527a2e679c1f	7148	818	49	754	2663
T1-55a33983098db1bf	6843	882	100	805	3623
T1-x4cd25d56f81b0c27	6932	769	19	631	2639
T1-x12949a58c3f72b58	5967	757	42	790	1921
T1-45a567d81abd40ed	7359	855	14	667	2516
T5-xa74527976c5dc98	12857	2884	60	2131	451
T5-x3e7770eb082b0bfe	5813	669	27	566	2536
T5-x2af3881dabe6b2d5	6842	807	34	654	2552
T5-2a1062d54ab175f9	6431	737	29	640	2271
T5-x51a956392f39a087	5883	727	39	637	2035
T5-x6be7132cea93da78	6133	693	30	693	2638
T5-ac0ef95921011ba	6094	639	23	571	2393
T5-5f5a70e04e7e3189	4414	416	36	469	1561
T5-x1ca5e8be11ebcb01	6344	747	24	612	2059
T5-x4a9248f6cf4e6db3	6590	806	42	616	2310
T5-4c9fb1ed9d6ea9ee	6672	746	41	657	2753
T5-x4f09d56a2c3720ff	6036	625	28	650	1586
T5-x2b1632e989b37ffd	5835	602	27	570	2133
T5-2c632fea2f92129b	6643	765	23	641	2575
T5-7d31adebee340d73	6879	795	23	620	2978
T5-x3a443ec79ff06d1f	9622	1594	52	1577	1635
T5-x7be66f6f2adab0af	8442	1051	42	1185	733
T5-x74f2c596ab94f19	10261	1148	68	1265	2339
T5-5198f987b4e0a65	11597	1805	93	1699	1851
T5-x6acb1a0c993ae5f6	9898	1088	65	1107	2721
T5-x30c76d71a1104158	10859	1327	51	1330	2295
T5-x72b643fed18f9883	12788	4141	190	3540	3478
T5-x4b037ed7325859bf	7837	885	45	795	2084
T3-34a8d790641d6d23	11296	2061	68	1837	2918
T3-x4e4e501c8a95d380	18616	10959	384	7592	410
T3-3a0e95db102442df	16202	7843	379	5934	1896
T3-40fbe7cf2e9e3e29	19074	12531	418	9473	398
T3-2c5bb6d176a60109	15544	5335	217	3825	847
T3-x5d9644fe7b49b10	18247	10319	426	7070	387
T3-14df28b462f87b3c	18062	10184	397	6933	314
T3-x6cd97f1e92667a5	10445	1705	96	1609	848
T3-xc7b26b2c5519d5c	11493	2472	114	2303	896
T3-2a18506d2c29a421	9180	1238	52	1495	689
T3-4436225e743e5123	9363	1161	71	1355	1179
T3-x36b0a4da8f93b349	15060	5048	175	3999	1467
T3-x423b5293a24acc8f	9905	948	68	1575	1447
T3-x44952f87773bd1e	8441	1248	81	1310	1839
T3-x4113e448953a532f	14206	5153	238	3922	1827
T3-x6732663fec98c85	6652	943	22	736	1580
T3-x775a76c2179f76d0	13995	5125	233	3825	1924
T3-7a95da410f62dbb5	8300	948	75	1028	1789
T3-x304745fcb89ccc9	13823	4930	251	3804	2238
T3-x19e1f51da902106f	16605	7366	326	5185	1557
T3-2b3c3f8fe9e537cc	13949	5057	263	3868	2143
T3-6ac3a618fbb00d9f	10190	1935	81	1548	2076
T3-x516fbfbf0aee8733	16798	7808	333	5426	1582
T3-16a3beea3fabe544	9606	2200	83	1553	3229
T3-78a0c594b9657995	7539	985	61	828	1930
T3-x45736837dcfb7b64	16309	7254	326	5279	1910
T3-eac635cfe89571a	8043	1469	53	1177	3055
T3-7b1e38344f3fe34a	10818	2451	73	1953	2804
T3-x28ad2bd12b53ddfc	10008	2468	88	1748	3357
T3-x3ffa98d70c2d0da7	16616	7631	370	5551	2039
T3-x12b6510830fa7393	5854	802	28	690	1423
T3-2a1a25fa7a948b11	15669	6916	269	4872	2128
T3-x65f53c01d909783a	7508	998	32	824	1758
T3-x1c2798332895a2a3	15747	8001	289	5999	2213
T3-1e8832df71cfb8fa	9919	1916	56	1500	2376
T3-90bab60d8f55e31	10829	2476	74	2025	2789
T3-x746273e6e1a3bc3e	7863	3126	148	2762	1719
T3-x1cff92f49d3394e6	11834	2991	96	2260	1670
T3-x56eb8f4fb81c874a	15937	7251	412	5142	2611
T3-769270af7798688d	7480	1004	44	789	2000
T3-937ca26cd9fe7a2	15032	6422	339	4514	1750
T3-x59a9af9f677e9f17	17830	11458	422	9040	1393
T3-x6497424a2b9f056	8612	1272	38	1092	571
T3-705cd8fa589d2a61	8561	1165	56	1065	1911
T3-x487d314788eab7fd	8037	926	45	1173	3117
T3-x7653e9d9ea4d23f7	11555	4790	239	3851	3123
T3-x3243cf162a69a2e5	8320	2284	120	1912	2408
T3-x73e13195319f4d9f	15158	7864	334	6176	2293
T3-x134ef03c77b27f05	8922	3076	112	2512	2949
T3-870820a5af824b7	17562	10614	433	8425	2030
T3-x2d939a0d190784a1	9100	1422	89	1245	2827
T3-398706371528589e	12039	2568	151	2022	2278
T3-xd9ef48d64d060be	12451	3504	169	2156	631
T3-556811a5537a0bb5	11753	2795	156	2036	1940
T3-c22f374654e7a01	11966	3370	156	2249	1524
T3-x5a25c7895addc570	10985	1731	95	1892	1713
T3-5719765a31206b11	19193	12793	401	10018	385
T4-x36f6d74a3dce1283	7073	929	20	696	2415
T4-x4105e9ecbd80889a	4865	665	50	626	1084
T4-x188ea2fbd189a1e9	6961	985	132	1174	2334
T4-x5f34a144c99ba4b2	6779	961	36	766	1743
T4-58f7a7e1aaa5b962	6321	805	21	675	1947
T4-7d2b5ff73493d9cc	6305	718	34	568	2401
T4-x587ae2029ab5f474	7384	843	22	659	2078
T4-c5fb32fdb91913a	5652	743	13	533	2021
T4-x6388ebd29ee6c9f5	6750	790	26	701	1921
T4-x3fadd3e482bf43b6	5522	711	9	488	1958
T4-8d2fccabb635520	6521	793	22	619	1813
T4-2d02c84c8b69340f	7072	924	64	853	4098
T4-x3bab5ad17e33ced6	8112	915	44	948	1995
T4-72bb157b1b3af028	8143	843	32	976	1560
T4-1ff4eb64fb91c4a6	6957	935	25	673	2137
T4-x6f62f38635a950d5	6110	814	26	686	1282
T4-2a9d5ac37380dd79	6303	1304	49	1098	1952
T4-x68907dc8d6044075	5387	673	29	703	1687
T4-x3e352339ae6fc27	5112	811	47	693	1644
T4-1cb4abae1ceee807	5896	875	13	537	1601
T4-x3f459dc314b0afde	6672	880	176	1157	3107
T4-x8ca21371c9b7748	7443	911	23	720	3262
T4-30d2a7429d06668e	13849	8825	326	6839	19
T4-x46095b8dcc624d3e	5690	718	28	654	2432
T4-6bba25a3f80f1717	5503	692	33	663	2534
T4-776bf3ca1021c495	5716	768	24	558	2352
T4-4f7e546439037853	6858	1902	119	1503	1436
T4-x3c994a887acac397	7713	947	45	818	1611
T4-2477fa4d7de64bfd	7324	952	67	893	4478
T4-3dd4ffdd04572aed	6963	1737	82	1634	2173
T4-x564da9b0084302c	6955	948	69	933	4397
T4-6561bc2b9b7b2a5e	7422	1093	48	877	2864
T4-1b815eef5a3b5d2	7726	884	40	854	2271
T4-51957e20151e01e6	9100	1078	50	1054	2591
T6-356b46b45f656419	10614	1208	100	1479	2782
T6-3f7b3e90f52e0735	11285	1435	91	1496	2749
T6-2923fe63d3d31113	11390	2107	73	1817	1112
T6-x22969f6f5f6cfe37	9155	987	97	1168	2389
T6-720f54e3f26b5455	11373	1549	93	1604	3593
T6-x5165cc4f3aeeda76	12104	2909	113	2643	1901
T6-x5b3448933e01d092	11394	1583	116	1738	2487
T6-60d00f02608cbdfd	15673	6862	257	5455	4081
T6-x689b848b67637b19	8813	536	23	783	2536
T6-61ca3af01b7adb71	10936	1684	84	1794	1892
T6-835e2ba676973be	11399	1794	118	1936	1800
T6-x37b5bb2adef46e64	11212	1711	108	1662	3048
T6-5a62d290e800bdd6	11328	2668	78	2420	2388
T6-x7fd9151423185d21	9177	903	52	1161	3738
T6-56561084c4ef4d9d	7485	909	20	671	3730
T6-x625efe02e40c120c	8256	941	28	684	2603
T6-x52882f3248b21561	7497	952	30	690	3582
T6-48697e350402cf41	7991	881	20	657	2950
T6-3248211a1be6610a	7498	814	31	727	3552
T6-af15b56ddb87f4f	9348	1100	31	916	2258
T6-e9f86850688f32f	5207	574	93	835	2042
T6-x732eb5e49548a4ce	7092	763	26	644	2305
T6-4d2cf4dbdb1c0de0	7883	794	28	707	2494
T6-x5f37e00c7612499d	9280	1349	65	1046	3166
T6-x4b7e27391fc51b19	6904	918	17	649	3068
T6-x6857bd619d3f3395	7999	974	18	732	2820
T6-x6d9655ebbdc1c01e	8903	999	22	874	2717
T6-x4adb88e28342593a	8246	976	47	951	2932
T6-c80c5d4c7785738	8611	1167	41	830	3365
T6-16e36f880e967d51	6638	868	15	681	3043
T6-x6f3d43a81ae9cb9	7997	1001	22	726	3319
T6-x6dc7f305be52323b	7863	877	21	674	2198
T6-2b0e7adaba51dfaf	11174	1875	126	2029	2209
T6-611c3e07796d3b19	15557	4791	77	3465	1772
T6-4eb92fc4e4ceaa2b	15220	4917	91	3696	1742
T6-x3624c0759488825d	15515	4884	125	3857	2256
T6-28bd6c5eb1cb5484	17196	7925	250	6220	2370
T6-x392d34cd9cdb003f	10573	1364	30	1161	1758
T6-x12ca9b906774e170	11642	3293	124	2715	2143
T6-2794a7efcb2c4932	9406	1878	59	1664	1639
T6-x454d008c754cd24d	14352	6146	252	4948	2400
T6-x71de74c77e4a38ff	10608	1249	100	1392	1522
T6-x513c99fb4ee43632	11540	1798	60	1672	3290
T6-x3285027058a1114b	11532	1907	102	1995	3105
T6-x5808bfdd82b89bd3	12251	2137	57	1622	1673
T6-x2fdc39d4e559e73f	10852	1477	49	1491	4032
T6-69ca4a69b84a2c99	11289	1709	44	1426	4045
T6-x19d30d31b8fedf0a	15242	5151	103	3843	1198
T6-14370cadc8c14900	9837	1234	23	1155	1051
T6-x2f8509ab86005255	11725	1787	142	1940	2453
T6-1698f8af052ad518	12356	2472	64	2048	1437
T6-3ebf1ebade924706	11118	1714	53	1464	2214
T6-x1545cb4601978780	13197	4559	139	3610	2768
T6-x3f64654141b39a84	10669	1696	61	1588	2231
T6-x53e72c35958762bc	16503	5705	138	4147	2095
T6-x5fa5842c3d67233f	15791	5047	136	3672	1865
T6-x1f4d54f1059d11a9	11104	1772	145	1888	2469
T6-x3753395317d3971e	11610	2009	91	1937	2674
T6-x6e30c815fe2f0c3b	11372	2335	95	2271	2476
T6-x1204c423ffa553cf	10713	1254	108	1563	2526
T6-x5a7bb7dac0651f60	11009	1766	43	1594	1883
T6-9e7445563046dc8	10698	1402	32	1151	1758
T6-x7f66c38b3f52040e	11710	1928	159	2126	2016
T2-64f8eb68c44aa5a3	7906	1055	180	1479	2487
T2-x7b8990244662ff4c	5845	760	11	563	6764
T2-6fd770a94f8bb0e2	6641	835	19	614	6926
T2-x190d695c2be70bd2	5059	591	97	955	1552
T2-53772c6926dc77d4	6286	774	26	610	2112
T2-509d5974bec3d6bb	7224	902	23	667	2491
T2-3b32a208974a9e8f	6619	862	51	709	3003
T2-1126f6b9bc219e7a	6262	836	23	631	2576
T2-x516e022ffb8fedab	7136	886	81	821	3737
T2-x61005711dfed7ced	6826	772	58	782	4207
T2-6955083cf7958d7c	6132	803	15	607	3091
T2-34b26d46d19e2c3c	6999	792	40	705	2525
T2-75fe5d8f9b0f03c1	8367	983	28	887	2544
T2-74efc6540f4f9ead	6479	847	18	630	2154
T2-2c0976b394406e7f	7084	885	21	626	2109
T2-x17730bbe1a877da2	6960	926	26	664	2561
T2-x6b696d348ee2cfb9	8354	1119	54	841	3969
T2-x2de4475d52d6d53f	7112	888	27	645	2937
T2-x188e91606881761	6353	697	24	665	2260
T2-x2bdca7ffddcf7285	6591	783	34	686	2743
T2-5ffdcd3e8e6e70b7	6980	781	22	659	2840
T2-3f5bfb7947457c16	6996	728	28	609	2374
T2-x2c4f5ae76ecee307	6608	807	31	624	2896
T2-x7bb96d982dcc796b	6889	798	55	683	2572
T2-42f028ba03560eb1	9172	2024	315	2188	2979
T2-x7d4ca0fad9f844e9	6406	768	33	617	1928
T2-6708b6413b6d6b50	6807	786	151	1034	3394
T2-x7c87e59850d303d1	8048	936	114	1028	3535
T2-x597c4adc144da2bf	6407	723	24	608	2215
T2-59a3092be331e8fa	7653	929	204	1283	3375
T2-54f94c6e169d9adc	8945	946	56	1051	2225
T2-x45e709e129e7bcbf	8667	1006	117	1139	2773
T2-x7068ee6445d4b597	10648	4310	254	3600	2589
T2-74855eb1498e3eb8	7823	925	17	720	2731
T2-587dc1ad17152d1	6340	824	25	653	2419
T2-5b7738f9a1e8f385	6846	800	126	923	2600
